SKU,ASIN,Description,Category,Warehouse,loc,quantity,Available,Committed,PO Reordered,Low Stock Threshold,Price,avg cost,Weight,30 Day Shipments,TV,Length,Width,Height,UPC,Tags
FLOT1D8D8DST-7G,,T1 Delta-8 Hemp Flower weight: 7g,,Distribution Warehouse,,2.000000,2.000000,0.000000,0.000000,1,88.00,0.00,0.375,5.00,0.00,7,4,1,,
FLW.CATNIP.1,,Catnip Cream Sauce Hemp Flower weight: 1g,,Distribution Warehouse,,10.000000,10.000000,0.000000,0.000000,1,10.00,0.00,0.01125,0.00,0.00,4,1,5,,
FLW.CATNIP.113,,Bulk Catnip Cream Sauce Hemp Flower weight: 113g,,Distribution Warehouse,,4.000000,4.000000,0.000000,0.000000,1,672.00,0.00,0.28125,1.00,0.00,9,7,4,,
FLW.CATNIP.1PR,,Catnip Cream Sauce Hemp Flower - Franny's Grammy: 1g Pre-Roll,,Distribution Warehouse,,61.000000,61.000000,0.000000,0.000000,1,7.20,0.00,0.0,15.00,0.00,0,0,0,,
FLW.CATNIP.227,,Bulk Catnip Cream Sauce Hemp Flower weight: 227g,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,1075.00,0.00,0.54375,0.00,0.00,11,9,4,,
FLW.CATNIP.28,,Bulk Catnip Cream Sauce Hemp Flower weight: 28g,,Distribution Warehouse,,5.000000,5.000000,0.000000,0.000000,1,210.00,0.00,0.09375,0.00,0.00,8,5,3,,
FLW.CATNIP.3.5,,Catnip Cream Sauce Hemp Flower weight: 3.5g,,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,28.00,0.00,0.0175,0.00,0.00,4,1,5,,
FLW.CATNIP.3PK,,Catnip Cream Sauce Hemp Flower - Half Grammy 3pk,,Distribution Warehouse,,47.000000,47.000000,0.000000,0.000000,1,12.00,0.00,0.0,3.00,0.00,0,0,0,,
FLW.CATNIP.453,,Bulk Catnip Cream Sauce Hemp Flower weight: 453g,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,1725.00,0.00,0.6375,0.00,0.00,12,9,8,,
FLW.CATNIP.7,,Catnip Cream Sauce Hemp Flower weight: 7g,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,1,55.00,0.00,0.03,0.00,0.00,4,2,7,,
FLW.T1.1,,T1 Hemp Flower weight: 1g,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,1,10.00,0.00,0.1125,0.00,0.00,3,4,1,,
FLW.T1.113,,Bulk T1 Hemp Flower weight: 113g,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,672.00,0.00,0.28125,1.00,0.00,9,7,4,,
